slug;kod;marka;urun_adi;FIYAT_BURAYA
kompresor-emerson-copeland-cr42k6-pfz-101-220v-r22;CR42K6-PFZ-101;Emerson-Copeland;Emerson/Copeland Kompresör CR42K6-PFZ-101;
kompresor-emerson-copeland-kcg572hae-d511-400v-r22;KCG572HAE-D511;Emerson-Copeland;Emerson/Copeland Kompresör KCG572HAE-D511;
1200f-4-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-9-3-11-7kw;1200F;FORM;1200F 4 Borulu 4 Yöne Üflemeli Kompakt Kaset Tipi Fancoil 9,3/11,7kW;
1200r-2-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-7-5-21kw;1200R;FORM;1200R 2 Borulu 4 Yöne Üflemeli Kompakt Kaset Tipi Fancoil 7,5/21kW;
15-15-pitsan-radyal-fan-yp02-10700;15/15;FORM;15/15 RADYAL FAN;
1500f-4-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-10-6-12-7kw;1500F;FORM;1500F 4 Borulu 4 Yöne Üflemeli Kompakt Kaset Tipi Fancoil 10,6/12,7kW;
1500r-2-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-12-9-30kw;1500R;FORM;1500R 2 Borulu 4 Yöne Üflemeli Kompakt Kaset Tipi Fancoil 12,9/30kW;
1610-28-kasnak-gobegi;1610/28;FORM;1610/28 Kasnak Göbeği;
1610-38-kasnak-gobegi;1610/38;FORM;1610/38 Kasnak Göbeği;
18-18-radyal-fan-pitsan;18/18;FORM;18/18 RADYAL FAN;
18-18-radyal-fan-ayagi-pitsan;18/18;FORM;18/18 Radyal Fan Ayağı Pitsan YP02.10706;
2012-28-kasnak-gobegi;12.5x2350;FORM;2012/28 Evaporatif Kasnak Göbeği;
2012-30-kasnak-gobegi;2012/30;FORM;2012/30 Kasnak Göbeği YP02.10827;
25-25-radyal-fan-pitsan;25/25;FORM;25/25 Pitsan Radyal Fan YP02.10714;
2517-50-kasnak-gobegi;2517/50;FORM;2517/50 Kasnak Göbeği YP02.10828;
300-2-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-3-6-8kw;300;FORM;300 2 Borulu 4 Yöne Üflemeli Kompakt Kaset Tipi Fancoil 3/6,8kW;
300s-4-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-2-5-3-7kw;300S;FORM;300S 4 Borulu 4 Yöne Üflemeli Kompakt Kaset Tipi Fancoil 2,5/3,7kW;
400-2-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-3-7-8-7kw;400;FORM;400 2 Borulu 4 Yöne Üflemeli Kompakt Kaset Tipi Fancoil 3,7/8,7kW;
400s-4-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-2-9-4-6kw;400S;FORM;400S 4 Borulu 4 Yöne Üflemeli Kompakt Kaset Tipi Fancoil 2,9/4,6kW;
500-2-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-4-5-10-3kw;500;FORM;500 2 Borulu 4 Yöne Üflemeli Kompakt Kaset Tipi Fancoil 4,5/10,3kW;
500s-4-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-3-5-5-1kw;500S;FORM;500S 4 Borulu 4 Yöne Üflemeli Kompakt Kaset Tipi Fancoil 3,5/5,1kW;
600f-4-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-5-1-6-7kw;600F;FORM;600F 4 Borulu 4 Yöne Üflemeli Kompakt Kaset Tipi Fancoil 5,1/6,7kW;
600r-2-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-5-7-16-kw;600R;FORM;600R 2 Borulu 4 Yöne Üflemeli Kompakt Kaset Tipi Fancoil 5,7/16,kW;
750f-4-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-5-9-7-9kw;750F;FORM;750F 4 Borulu 4 Yöne Üflemeli Kompakt Kaset Tipi Fancoil 5,9/7,9kW;
750r-2-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-7-19-7kw;750R;FORM;750R 2 Borulu 4 Yöne Üflemeli Kompakt Kaset Tipi Fancoil 7/19,7kW;
850f-4-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-6-2-8-1kw;850F;FORM;850F 4 Borulu 4 Yöne Üflemeli Kompakt Kaset Tipi Fancoil 6,2/8,1kW;
850r-2-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-7-5-21kw;850R;FORM;850R 2 Borulu 4 Yöne Üflemeli Kompakt Kaset Tipi Fancoil 7,5/21kW;
950f-4-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-6-7-8-7kw;950F;FORM;950F 4 Borulu 4 Yöne Üflemeli Kompakt Kaset Tipi Fancoil 6,7/8,7kW;
950r-2-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-7-5-21kw;950R;FORM;950R 2 Borulu 4 Yöne Üflemeli Kompakt Kaset Tipi Fancoil 7,5/21kW;
ap-11-pompa-220v;(220V);FORM;AP 11 POMPA (220V);
duman-ve-isi-tahliye-sistemleri-kontrol-sistemleri-ve-montaj;;FORM;Duman ve Isı Tahliye Sistemleri KONTROL SİSTEMLERİ ve MONTAJ;
form-elektrik-motoru-2-2-kw-380v-yp02-10250;2.2;FORM;ELEKTİRİK MOTORU 2.2 kW-380V;
elektrik-motoru-3-0-kw-380v;3.0;FORM;ELEKTİRİK MOTORU 3.0 kW-380V;
elektirik-motoru-5-5-kw-380v;5.5;FORM;ELEKTİRİK MOTORU 5.5 kW-380V;
ek-her-1-metre-kanalin-listesi;;FORM;Ek her 1 metre kanalın listesi;
